目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
da_as_total_mw_primary_reserve,日前主用备用总量,95%,4,DGatingDNN,DGatingDNN,0.8229582141038765,0.8588289163840803,47,da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_hydro_pct
da_as_total_mw_primary_reserve,日前主用备用总量,95%,4,DGatingDNN,STG,0.8185136124455151,0.8588289163840803,47,da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve
da_as_total_mw_primary_reserve,日前主用备用总量,95%,4,DGatingDNN,LassoNet,0.6149772714002608,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve
da_as_total_mw_primary_reserve,日前主用备用总量,95%,4,DGatingDNN,XGBoost,0.7487164666754267,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_primary_reserve|da_as_as_mw_synchronized_reserve
da_as_total_mw_primary_reserve,日前主用备用总量,95%,4,DGatingDNN,Lasso,0.8160681369575074,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve
da_as_total_mw_primary_reserve,日前主用备用总量,95%,4,DGatingDNN,Pearson,0.6144435856162302,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve
da_as_total_mw_primary_reserve,日前主用备用总量,97%,5,Lasso,DGatingDNN,0.8317137093271667,0.8588289163840803,47,da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_hydro_pct|gen_fuel_coal_mw
da_as_total_mw_primary_reserve,日前主用备用总量,97%,5,Lasso,STG,0.8403599912118473,0.8588289163840803,47,da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|prelim_load_avg_hourly
da_as_total_mw_primary_reserve,日前主用备用总量,97%,5,Lasso,LassoNet,0.6244492085873619,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_self_sched_reg
da_as_total_mw_primary_reserve,日前主用备用总量,97%,5,Lasso,XGBoost,0.8204304435031352,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve
da_as_total_mw_primary_reserve,日前主用备用总量,97%,5,Lasso,Lasso,0.8584311170516851,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw
da_as_total_mw_primary_reserve,日前主用备用总量,97%,5,Lasso,Pearson,0.7079621185765506,0.8588289163840803,47,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw
