epoch,feature_index,feature,gate
1,1,da_as_as_mw_thirty_minutes_reserve,0.72303903
1,2,da_as_total_mw_thirty_minutes_reserve,0.7076296
1,3,gross_sched_interchange_mw,0.816936
1,4,gen_fuel_nuclear_mw,0.80291533
1,5,gen_fuel_gas_mw,0.6323961
1,6,da_as_as_req_mw_thirty_minutes_reserve,0.69880193
1,7,da_as_as_req_mw_primary_reserve,0.7257943
1,8,da_as_as_req_mw_synchronized_reserve,0.69678736
1,9,total_pjm_assigned_reg,0.46436104
1,10,da_as_as_mw_primary_reserve,0.5208947
1,11,da_as_total_mw_primary_reserve,0.5184579
1,12,da_as_as_mw_synchronized_reserve,0.5023072
1,13,total_pjm_reg_purchases,0.48663905
1,14,gen_fuel_other_renewables_mw,0.4483103
1,15,total_lmp_da,0.5505932
1,16,total_pjm_rmpcp_cr,0.5159066
1,17,forecast_load_mw_day_ahead,0.61326534
1,18,total_pjm_rmccp_cr,0.9513848
1,19,gen_fuel_wind_mw,0.55170083
1,20,da_as_total_mw_synchronized_reserve,0.47416463
1,21,system_energy_price_da,0.5499807
1,22,gen_fuel_multiple_fuels_pct,0.37720263
1,23,gen_fuel_multiple_fuels_mw,0.39872915
1,24,marginal_loss_price_rt,0.6820406
1,25,gen_fuel_gas_pct,0.34147942
1,26,marginal_loss_price_da,0.45227206
1,27,total_lmp_rt,0.6387576
1,28,rmccp,0.60070926
1,29,system_energy_price_rt,0.55617785
1,30,rmpcp,0.39196923
1,31,gen_fuel_wind_pct,0.28834966
1,32,gen_fuel_coal_mw,0.657976
1,33,wind_generation_mw,0.52756774
1,34,gross_inadv_interchange_mw,0.5780647
1,35,gen_fuel_oil_mw,0.49573398
1,36,da_as_mcp_primary_reserve,0.39538524
1,37,total_pjm_rt_load_mwh,0.5762714
1,38,metered_load_mw,0.570076
1,39,forecast_load_mw_latest_available,0.57168275
1,40,prelim_load_avg_hourly,0.555319
1,41,gross_actual_interchange_mw,0.57813746
1,42,gen_fuel_hydro_mw,0.49856195
1,43,total_pjm_loc_credit,0.39841497
1,44,total_losses,0.45841482
1,45,net_inadv_interchange_mw,0.31967974
1,46,da_as_nsr_mw_primary_reserve,0.39280614
1,47,total_pjm_self_sched_reg,0.3464519
1,48,da_as_ss_mw_synchronized_reserve,0.36754596
1,49,da_as_ss_mw_thirty_minutes_reserve,0.37731862
1,50,da_as_ss_mw_primary_reserve,0.32803655
1,51,gen_fuel_solar_mw,0.350329
1,52,gen_fuel_coal_pct,0.33797386
1,53,congestion_price_rt,0.27432573
1,54,da_as_mcp_synchronized_reserve,0.34073764
1,55,congestion_price_da,0.38643456
2,1,da_as_as_mw_thirty_minutes_reserve,0.65850675
2,2,da_as_total_mw_thirty_minutes_reserve,0.65476304
2,3,gross_sched_interchange_mw,0.72219175
2,4,gen_fuel_nuclear_mw,0.73060024
2,5,gen_fuel_gas_mw,0.6313216
2,6,da_as_as_req_mw_thirty_minutes_reserve,0.5137533
2,7,da_as_as_req_mw_primary_reserve,0.55178225
2,8,da_as_as_req_mw_synchronized_reserve,0.5321045
2,9,total_pjm_assigned_reg,0.55121595
2,10,da_as_as_mw_primary_reserve,0.4138009
2,11,da_as_total_mw_primary_reserve,0.41439384
2,12,da_as_as_mw_synchronized_reserve,0.42011526
2,13,total_pjm_reg_purchases,0.5607693
2,14,gen_fuel_other_renewables_mw,0.43558276
2,15,total_lmp_da,0.6023797
2,16,total_pjm_rmpcp_cr,0.4337118
2,17,forecast_load_mw_day_ahead,0.64425176
2,18,total_pjm_rmccp_cr,0.9218132
2,19,gen_fuel_wind_mw,0.66581994
2,20,da_as_total_mw_synchronized_reserve,0.40008175
2,21,system_energy_price_da,0.6088926
2,22,gen_fuel_multiple_fuels_pct,0.43694207
2,23,gen_fuel_multiple_fuels_mw,0.476714
2,24,marginal_loss_price_rt,0.6457215
2,25,gen_fuel_gas_pct,0.3126056
2,26,marginal_loss_price_da,0.4920358
2,27,total_lmp_rt,0.6191203
2,28,rmccp,0.5971226
2,29,system_energy_price_rt,0.56968385
2,30,rmpcp,0.34693995
2,31,gen_fuel_wind_pct,0.35744244
2,32,gen_fuel_coal_mw,0.67617476
2,33,wind_generation_mw,0.6412975
2,34,gross_inadv_interchange_mw,0.63987553
2,35,gen_fuel_oil_mw,0.5211285
2,36,da_as_mcp_primary_reserve,0.43242997
2,37,total_pjm_rt_load_mwh,0.6417938
2,38,metered_load_mw,0.63531595
2,39,forecast_load_mw_latest_available,0.63816136
2,40,prelim_load_avg_hourly,0.6239116
2,41,gross_actual_interchange_mw,0.64470303
2,42,gen_fuel_hydro_mw,0.58319306
2,43,total_pjm_loc_credit,0.46177325
2,44,total_losses,0.5240132
2,45,net_inadv_interchange_mw,0.37525046
2,46,da_as_nsr_mw_primary_reserve,0.4181763
2,47,total_pjm_self_sched_reg,0.3831456
2,48,da_as_ss_mw_synchronized_reserve,0.43796504
2,49,da_as_ss_mw_thirty_minutes_reserve,0.4429237
2,50,da_as_ss_mw_primary_reserve,0.38881972
2,51,gen_fuel_solar_mw,0.40454954
2,52,gen_fuel_coal_pct,0.33790317
2,53,congestion_price_rt,0.3332445
2,54,da_as_mcp_synchronized_reserve,0.39355755
2,55,congestion_price_da,0.37662736
3,1,da_as_as_mw_thirty_minutes_reserve,0.6902628
3,2,da_as_total_mw_thirty_minutes_reserve,0.69245505
3,3,gross_sched_interchange_mw,0.7209213
3,4,gen_fuel_nuclear_mw,0.7325982
3,5,gen_fuel_gas_mw,0.69640034
3,6,da_as_as_req_mw_thirty_minutes_reserve,0.43312892
3,7,da_as_as_req_mw_primary_reserve,0.46699882
3,8,da_as_as_req_mw_synchronized_reserve,0.45835635
3,9,total_pjm_assigned_reg,0.5475846
3,10,da_as_as_mw_primary_reserve,0.40039018
3,11,da_as_total_mw_primary_reserve,0.40009317
3,12,da_as_as_mw_synchronized_reserve,0.42704278
3,13,total_pjm_reg_purchases,0.5465526
3,14,gen_fuel_other_renewables_mw,0.46495116
3,15,total_lmp_da,0.56015944
3,16,total_pjm_rmpcp_cr,0.40827596
3,17,forecast_load_mw_day_ahead,0.7026088
3,18,total_pjm_rmccp_cr,0.8546749
3,19,gen_fuel_wind_mw,0.70688164
3,20,da_as_total_mw_synchronized_reserve,0.4131218
3,21,system_energy_price_da,0.5769764
3,22,gen_fuel_multiple_fuels_pct,0.3982998
3,23,gen_fuel_multiple_fuels_mw,0.48183513
3,24,marginal_loss_price_rt,0.5372745
3,25,gen_fuel_gas_pct,0.33021706
3,26,marginal_loss_price_da,0.46548843
3,27,total_lmp_rt,0.5394643
3,28,rmccp,0.52965724
3,29,system_energy_price_rt,0.51726
3,30,rmpcp,0.33534312
3,31,gen_fuel_wind_pct,0.35944438
3,32,gen_fuel_coal_mw,0.7126622
3,33,wind_generation_mw,0.6882018
3,34,gross_inadv_interchange_mw,0.6997126
3,35,gen_fuel_oil_mw,0.5342153
3,36,da_as_mcp_primary_reserve,0.40971178
3,37,total_pjm_rt_load_mwh,0.7055047
3,38,metered_load_mw,0.6984892
3,39,forecast_load_mw_latest_available,0.6994617
3,40,prelim_load_avg_hourly,0.68757975
3,41,gross_actual_interchange_mw,0.68889445
3,42,gen_fuel_hydro_mw,0.6346159
3,43,total_pjm_loc_credit,0.5198274
3,44,total_losses,0.5411365
3,45,net_inadv_interchange_mw,0.4321179
3,46,da_as_nsr_mw_primary_reserve,0.44288367
3,47,total_pjm_self_sched_reg,0.42129666
3,48,da_as_ss_mw_synchronized_reserve,0.4683995
3,49,da_as_ss_mw_thirty_minutes_reserve,0.46698436
3,50,da_as_ss_mw_primary_reserve,0.42248675
3,51,gen_fuel_solar_mw,0.44382402
3,52,gen_fuel_coal_pct,0.33206895
3,53,congestion_price_rt,0.3402207
3,54,da_as_mcp_synchronized_reserve,0.3843467
3,55,congestion_price_da,0.36702928
4,1,da_as_as_mw_thirty_minutes_reserve,0.7399808
4,2,da_as_total_mw_thirty_minutes_reserve,0.74679893
4,3,gross_sched_interchange_mw,0.7375608
4,4,gen_fuel_nuclear_mw,0.7477565
4,5,gen_fuel_gas_mw,0.7722632
4,6,da_as_as_req_mw_thirty_minutes_reserve,0.35972652
4,7,da_as_as_req_mw_primary_reserve,0.38630897
4,8,da_as_as_req_mw_synchronized_reserve,0.38986158
4,9,total_pjm_assigned_reg,0.52365994
4,10,da_as_as_mw_primary_reserve,0.39749286
4,11,da_as_total_mw_primary_reserve,0.39561942
4,12,da_as_as_mw_synchronized_reserve,0.4489191
4,13,total_pjm_reg_purchases,0.5098146
4,14,gen_fuel_other_renewables_mw,0.5060881
4,15,total_lmp_da,0.48771578
4,16,total_pjm_rmpcp_cr,0.38817886
4,17,forecast_load_mw_day_ahead,0.76758164
4,18,total_pjm_rmccp_cr,0.72232074
4,19,gen_fuel_wind_mw,0.73969656
4,20,da_as_total_mw_synchronized_reserve,0.44138104
4,21,system_energy_price_da,0.51649326
4,22,gen_fuel_multiple_fuels_pct,0.3333587
4,23,gen_fuel_multiple_fuels_mw,0.47176945
4,24,marginal_loss_price_rt,0.39300337
4,25,gen_fuel_gas_pct,0.35751143
4,26,marginal_loss_price_da,0.4183039
4,27,total_lmp_rt,0.43372115
4,28,rmccp,0.43771774
4,29,system_energy_price_rt,0.4430812
4,30,rmpcp,0.3269857
4,31,gen_fuel_wind_pct,0.34551844
4,32,gen_fuel_coal_mw,0.7548192
4,33,wind_generation_mw,0.7288326
4,34,gross_inadv_interchange_mw,0.7619497
4,35,gen_fuel_oil_mw,0.5475925
4,36,da_as_mcp_primary_reserve,0.37166512
4,37,total_pjm_rt_load_mwh,0.7717582
4,38,metered_load_mw,0.7644339
4,39,forecast_load_mw_latest_available,0.7634277
4,40,prelim_load_avg_hourly,0.7543476
4,41,gross_actual_interchange_mw,0.73406
4,42,gen_fuel_hydro_mw,0.6871602
4,43,total_pjm_loc_credit,0.5878943
4,44,total_losses,0.55063504
4,45,net_inadv_interchange_mw,0.49989036
4,46,da_as_nsr_mw_primary_reserve,0.47276595
4,47,total_pjm_self_sched_reg,0.46667272
4,48,da_as_ss_mw_synchronized_reserve,0.49553102
4,49,da_as_ss_mw_thirty_minutes_reserve,0.48642877
4,50,da_as_ss_mw_primary_reserve,0.45726287
4,51,gen_fuel_solar_mw,0.48701158
4,52,gen_fuel_coal_pct,0.3225647
4,53,congestion_price_rt,0.3352848
4,54,da_as_mcp_synchronized_reserve,0.36067185
4,55,congestion_price_da,0.35493731
5,1,da_as_as_mw_thirty_minutes_reserve,0.79982364
5,2,da_as_total_mw_thirty_minutes_reserve,0.8067015
5,3,gross_sched_interchange_mw,0.7820166
5,4,gen_fuel_nuclear_mw,0.78545254
5,5,gen_fuel_gas_mw,0.8353693
5,6,da_as_as_req_mw_thirty_minutes_reserve,0.32987776
5,7,da_as_as_req_mw_primary_reserve,0.3496505
5,8,da_as_as_req_mw_synchronized_reserve,0.35942537
5,9,total_pjm_assigned_reg,0.48380256
5,10,da_as_as_mw_primary_reserve,0.41335678
5,11,da_as_total_mw_primary_reserve,0.40902895
5,12,da_as_as_mw_synchronized_reserve,0.48287022
5,13,total_pjm_reg_purchases,0.4613258
5,14,gen_fuel_other_renewables_mw,0.54157054
5,15,total_lmp_da,0.4073549
5,16,total_pjm_rmpcp_cr,0.37936983
5,17,forecast_load_mw_day_ahead,0.81861836
5,18,total_pjm_rmccp_cr,0.5798943
5,19,gen_fuel_wind_mw,0.7549981
5,20,da_as_total_mw_synchronized_reserve,0.47989836
5,21,system_energy_price_da,0.44532385
5,22,gen_fuel_multiple_fuels_pct,0.26382086
5,23,gen_fuel_multiple_fuels_mw,0.44177073
5,24,marginal_loss_price_rt,0.2732434
5,25,gen_fuel_gas_pct,0.38001186
5,26,marginal_loss_price_da,0.36142918
5,27,total_lmp_rt,0.33572173
5,28,rmccp,0.34925723
5,29,system_energy_price_rt,0.36504057
5,30,rmpcp,0.317639
5,31,gen_fuel_wind_pct,0.30914897
5,32,gen_fuel_coal_mw,0.79259485
5,33,wind_generation_mw,0.7492692
5,34,gross_inadv_interchange_mw,0.8057444
5,35,gen_fuel_oil_mw,0.547753
5,36,da_as_mcp_primary_reserve,0.3198297
5,37,total_pjm_rt_load_mwh,0.817738
5,38,metered_load_mw,0.81078565
5,39,forecast_load_mw_latest_available,0.8078175
5,40,prelim_load_avg_hourly,0.8004503
5,41,gross_actual_interchange_mw,0.7638181
5,42,gen_fuel_hydro_mw,0.7171886
5,43,total_pjm_loc_credit,0.631072
5,44,total_losses,0.5432507
5,45,net_inadv_interchange_mw,0.5422534
5,46,da_as_nsr_mw_primary_reserve,0.48536825
5,47,total_pjm_self_sched_reg,0.49237162
5,48,da_as_ss_mw_synchronized_reserve,0.4973978
5,49,da_as_ss_mw_thirty_minutes_reserve,0.48247063
5,50,da_as_ss_mw_primary_reserve,0.46552595
5,51,gen_fuel_solar_mw,0.50467277
5,52,gen_fuel_coal_pct,0.3036703
5,53,congestion_price_rt,0.30846027
5,54,da_as_mcp_synchronized_reserve,0.31782562
5,55,congestion_price_da,0.33473566
6,1,da_as_as_mw_thirty_minutes_reserve,0.82168746
6,2,da_as_total_mw_thirty_minutes_reserve,0.83032745
6,3,gross_sched_interchange_mw,0.7879646
6,4,gen_fuel_nuclear_mw,0.7919574
6,5,gen_fuel_gas_mw,0.8662764
6,6,da_as_as_req_mw_thirty_minutes_reserve,0.27661088
6,7,da_as_as_req_mw_primary_reserve,0.29244843
