target,中文名,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,选中字段
bus_115_va_deg,节点115电压相角,否,46,7,0.9865132612079666,0.9791766121672558,0.9832577097341423,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_hydro_mw|area_1_load_actual_mw
bus_215_va_deg,节点215电压相角,否,46,9,0.9900794622218906,0.9685783147256419,0.9844591041133075,area_1_fuel_coal_mw|area_1_load_actual_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_solar_mw|system_losses_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|area_3_net_export_mw
bus_315_va_deg,节点315电压相角,否,46,7,0.9921932314191497,0.9585410030735877,0.9906550332956847,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_nuclear_mw
branch_ab1_loading_pct,线路AB1负载率,否,43,7,0.9866955877743271,0.975615758274529,0.9836873073384231,area_1_fuel_natural_gas_mw|reserve_spin_r1_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw
branch_ab2_loading_pct,线路AB2负载率,否,43,11,0.9840552153065971,0.9773359431880168,0.9720636813268333,area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|reserve_spin_r1_mw|area_3_fuel_wind_mw|system_losses_mw|area_1_fuel_solar_mw|area_3_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw|area_1_fuel_wind_mw|area_2_fuel_natural_gas_mw
branch_ab3_loading_pct,线路AB3负载率,否,43,9,0.9569884294763549,0.9517729560909858,0.9477035343097316,area_1_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_fuel_natural_gas_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_2_fuel_hydro_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|system_losses_mw
branch_ca_1_loading_pct,线路CA-1负载率,否,43,11,0.9775366239953002,0.9702876182877553,0.9674235698295374,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw
branch_cb_1_loading_pct,线路CB-1负载率,否,43,12,0.9767972019193356,0.9741805112458858,0.9592502236601234,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|area_2_fuel_coal_mw|area_1_fuel_hydro_mw|area_1_fuel_coal_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,否,28,4,0.9998942128603318,0.9992969968942458,0.9794199077296551,reserve_spin_r1_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_fuel_hydro_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,否,42,4,0.9998121294055673,0.9989010248306619,0.9995833959202155,area_2_load_day_ahead_mw|area_2_fuel_hydro_mw|area_2_fuel_coal_mw|area_2_fuel_solar_mw
gen_317_wind_1_pg_mw,机组317风电出力,否,42,11,0.9537373511900484,0.9413653482608043,0.9312415188195577,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_3_load_actual_mw|area_1_fuel_wind_mw|area_2_fuel_hydro_mw|hour_of_day|area_3_fuel_hydro_mw|reserve_reg_down_mw
gen_321_cc_1_status,机组321投入状态,否,42,4,0.999949942932964,0.9970968414271708,0.9952258071108129,area_3_fuel_solar_mw|area_3_fuel_wind_mw|reserve_spin_r3_mw|area_3_fuel_coal_mw
bus_115_va_deg,节点115电压相角,是,42,7,0.9880940106453325,0.9777906260046706,0.9778785799841572,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw
