目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,DGatingDNN,0.9429929673705221,0.9893936614637584,41,area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_solar_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,STG,0.9178792477400649,0.9893936614637584,41,area_1_fuel_wind_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|reserve_spin_r1_mw|gen_fuel_nuclear_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,LassoNet,0.8631790028164912,0.9893936614637584,41,reserve_spin_r1_mw|area_1_load_actual_mw|area_1_fuel_wind_mw|area_1_load_day_ahead_mw|area_2_fuel_coal_mw|reserve_reg_down_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,XGBoost,0.8781643903002266,0.9893936614637584,41,area_2_fuel_coal_mw|area_1_fuel_wind_mw|area_1_load_actual_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|reserve_spin_r1_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,Lasso,0.9017331370839682,0.9893936614637584,41,area_1_load_actual_mw|area_1_fuel_wind_mw|system_losses_mw|reserve_spin_r1_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw
branch_ab1_loading_pct,线路AB1负载率,95%,6,DGatingDNN,Pearson,0.7818380574422359,0.9893936614637584,41,system_losses_mw|area_1_generation_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|system_generation_mw
branch_ab1_loading_pct,线路AB1负载率,97%,7,DGatingDNN,DGatingDNN,0.9749781448425443,0.9893936614637584,41,area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw
branch_ab1_loading_pct,线路AB1负载率,97%,7,DGatingDNN,STG,0.9428429727802158,0.9893936614637584,41,area_1_fuel_wind_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|reserve_spin_r1_mw|gen_fuel_nuclear_mw|area_1_fuel_solar_mw
branch_ab1_loading_pct,线路AB1负载率,97%,7,DGatingDNN,LassoNet,0.9069840868356035,0.9893936614637584,41,reserve_spin_r1_mw|area_1_load_actual_mw|area_1_fuel_wind_mw|area_1_load_day_ahead_mw|area_2_fuel_coal_mw|reserve_reg_down_mw|area_3_fuel_solar_mw
branch_ab1_loading_pct,线路AB1负载率,97%,7,DGatingDNN,XGBoost,0.8851236011268191,0.9893936614637584,41,area_2_fuel_coal_mw|area_1_fuel_wind_mw|area_1_load_actual_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|reserve_spin_r1_mw|area_1_fuel_coal_mw
branch_ab1_loading_pct,线路AB1负载率,97%,7,DGatingDNN,Lasso,0.901036489324119,0.9893936614637584,41,area_1_load_actual_mw|area_1_fuel_wind_mw|system_losses_mw|reserve_spin_r1_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw
branch_ab1_loading_pct,线路AB1负载率,97%,7,DGatingDNN,Pearson,0.8205808536185017,0.9893936614637584,41,system_losses_mw|area_1_generation_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|system_generation_mw|area_2_generation_mw
