wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.48290965,0.4377753,0.45432672,0.49180606,0.52123547,0.43851158,0.49739125,0.40940893,0.4471136,0.41057393,0.46418604,0.43332565,0.44619542,0.44349033,0.5362299,0.43577412,0.41219267,0.42678177,0.41063556,0.39660013,0.45690456,0.41985545,0.5246248,0.44924343,0.40865967,0.4660912,0.45138744,0.45862314,0.5043216,0.4189756,0.41357037,0.44194236,0.51017135,0.41668049,0.58600944,0.5771491,0.5779292,0.4998549,0.5823645,0.398608,0.42221826,0.37983143,0.40191296,0.39569727,0.40513566,0.4462607,0.42589012
0.46234775,0.3879886,0.41826797,0.4803995,0.5656112,0.42518145,0.47732803,0.31983137,0.38691482,0.33534443,0.43940553,0.386176,0.42385164,0.42921725,0.58992225,0.41779104,0.3587043,0.39176205,0.3525246,0.30885485,0.4203786,0.39008346,0.53394043,0.41226777,0.34529847,0.44773707,0.42867598,0.40454718,0.5450729,0.37092733,0.34740445,0.4083384,0.5715103,0.35333875,0.6152904,0.6285969,0.62057674,0.61132777,0.648908,0.3358648,0.36304364,0.29263505,0.33238846,0.32837296,0.33100894,0.38512558,0.3572469
0.43935224,0.34638292,0.3896489,0.46361527,0.6187002,0.3795679,0.45502064,0.24550809,0.33177012,0.29234844,0.42876446,0.32594815,0.39126933,0.40456644,0.6566476,0.39255133,0.31184605,0.3557864,0.28656375,0.22798868,0.39615425,0.36845165,0.54621905,0.39026663,0.2729617,0.43323466,0.39750338,0.37423572,0.58167166,0.3303507,0.27623636,0.3773781,0.60995775,0.26172298,0.6521758,0.680475,0.6602396,0.72539216,0.7060722,0.2603115,0.2956192,0.21929775,0.23639272,0.2531427,0.24235265,0.32040858,0.31665474
0.3976084,0.30745804,0.34694389,0.43757936,0.6588628,0.34043735,0.4351329,0.15306103,0.2656327,0.22748935,0.4080801,0.2711487,0.38279608,0.36584887,0.71177185,0.38619226,0.26055452,0.32813108,0.22282152,0.13718237,0.35824513,0.3396595,0.5561746,0.3595144,0.21031524,0.41991037,0.35492572,0.34377596,0.61117953,0.30166212,0.2194308,0.34006667,0.65911055,0.17176686,0.6899702,0.72023183,0.6978383,0.80855936,0.76560396,0.19110544,0.2243791,0.14283517,0.15118931,0.17701471,0.16098104,0.24347296,0.2609078
0.35381445,0.23659901,0.30558485,0.4104448,0.68860805,0.2987686,0.39124683,0.054979272,0.19246824,0.1569258,0.38059586,0.21882552,0.3608719,0.31776586,0.7435959,0.36034334,0.19809592,0.29334855,0.1533538,0.048957184,0.32929915,0.3096119,0.56436,0.32082176,0.13351919,0.40227205,0.3304773,0.3243228,0.642808,0.26260138,0.14737235,0.29717845,0.70254284,0.07959042,0.715399,0.7456486,0.7313151,0.913348,0.8168493,0.12678939,0.15575895,0.051068656,0.06269465,0.09912808,0.07973343,0.17397659,0.20010692
0.31302583,0.18326409,0.2667748,0.38342464,0.6890677,0.25458723,0.3620507,-0.042016096,0.11372597,0.076737076,0.3476251,0.17410415,0.3416379,0.2759047,0.77118087,0.32336476,0.14089616,0.2604138,0.07157898,-0.03136672,0.28870887,0.27714607,0.5667186,0.27625477,0.035063498,0.38065246,0.2760666,0.3030446,0.66070753,0.23087762,0.074650034,0.2694816,0.737566,-0.013327372,0.728165,0.7534969,0.7539278,0.9882696,0.8584745,0.05686524,0.103210434,-0.025277084,-0.040796053,0.028792176,0.004895705,0.09333684,0.13530886
0.28105527,0.12002089,0.20787142,0.3600227,0.7242369,0.21856098,0.3463387,-0.13703138,0.03291494,-0.0059042526,0.29774097,0.1320191,0.3119254,0.22003454,0.8004716,0.2957676,0.07798633,0.2132694,-0.003791672,-0.117716014,0.2651609,0.2313257,0.5653154,0.22530806,-0.044626426,0.3679274,0.23527658,0.2763394,0.66652036,0.18800232,-0.021083945,0.23332429,0.7451618,-0.10322319,0.74691767,0.77533704,0.7749062,1.0405298,0.90758026,0.018186355,0.054081496,-0.10732016,-0.13255557,-0.047642052,-0.07986248,0.012218081,0.09485814
0.22307543,0.07049464,0.18679045,0.3309701,0.7498339,0.17658198,0.31723252,-0.23411272,-0.046082024,-0.055152327,0.26360953,0.06618001,0.29262078,0.17568286,0.80784285,0.27386868,0.014029843,0.1847935,-0.08243325,-0.19964264,0.23673265,0.20123698,0.58194226,0.16645023,-0.13537292,0.35736778,0.20083757,0.28561056,0.6817205,0.14920643,-0.10300156,0.19037239,0.7701715,-0.17882314,0.7587496,0.7973733,0.79326594,1.0970984,0.9440415,-0.014579347,-0.013497709,-0.19922388,-0.22042982,-0.12034743,-0.16012271,-0.057438746,0.05320244
0.18485445,0.020176973,0.144559,0.30261043,0.7801931,0.12692358,0.30443472,-0.32270518,-0.1305518,-0.12994938,0.22879726,0.020901429,0.27441916,0.11974354,0.847721,0.25292143,-0.054115776,0.13521987,-0.15647122,-0.27316567,0.20782286,0.16030973,0.59272665,0.1050241,-0.21351463,0.31322902,0.14880475,0.25920618,0.70228714,0.10895567,-0.19160824,0.14910571,0.7918632,-0.2483338,0.77261,0.81702054,0.8103804,1.1508366,0.9834864,-0.052646156,-0.07951906,-0.2832108,-0.30882213,-0.20140499,-0.22241983,-0.11948763,-0.016071629
