目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
gen_121_nuclear_1_pg_mw,机组121核电出力,95%,4,DGatingDNN,DGatingDNN,0.9992969968942458,0.9998942128603318,28,reserve_spin_r1_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_fuel_hydro_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,95%,4,DGatingDNN,STG,0.7694813652283363,0.9998942128603318,28,area_1_fuel_wind_mw|area_1_fuel_hydro_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,95%,4,DGatingDNN,LassoNet,0.8041071430242775,0.9998942128603318,28,area_1_fuel_wind_mw|area_1_net_export_mw|area_2_fuel_coal_mw|area_3_fuel_hydro_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,95%,4,DGatingDNN,XGBoost,0.8800253380651226,0.9998942128603318,28,area_1_fuel_wind_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|reserve_spin_r1_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,95%,4,DGatingDNN,Lasso,0.8926318077774763,0.9998942128603318,28,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|area_1_fuel_wind_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,95%,4,DGatingDNN,Pearson,0.7494594142599142,0.9998942128603318,28,area_1_fuel_wind_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_fuel_natural_gas_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,97%,4,DGatingDNN,DGatingDNN,0.9992969968942458,0.9998942128603318,28,reserve_spin_r1_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_fuel_hydro_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,97%,4,DGatingDNN,STG,0.7694813652283363,0.9998942128603318,28,area_1_fuel_wind_mw|area_1_fuel_hydro_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,97%,4,DGatingDNN,LassoNet,0.8041071430242775,0.9998942128603318,28,area_1_fuel_wind_mw|area_1_net_export_mw|area_2_fuel_coal_mw|area_3_fuel_hydro_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,97%,4,DGatingDNN,XGBoost,0.8800253380651226,0.9998942128603318,28,area_1_fuel_wind_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|reserve_spin_r1_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,97%,4,DGatingDNN,Lasso,0.8926318077774763,0.9998942128603318,28,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|area_1_fuel_wind_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,97%,4,DGatingDNN,Pearson,0.7494594142599142,0.9998942128603318,28,area_1_fuel_wind_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_fuel_natural_gas_mw
