center,target_label,plot_label,method,n_features,budget_kind,feature_count,best_test_r2,best_train_r2,min_test_loss,min_train_loss,final_test_r2,final_train_r2,final_test_loss,final_train_loss,best_epoch,full_dnn_r2,ratio_to_full,output_dir
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",DNN_AllFeatures,9,0.97,67,0.967963695526123,0.9934613108634949,0.03034995329032493,0.006538710523891163,0.9655976295471191,0.9924269318580627,0.032591485341715555,0.007573068177812,139,0.967963695526123,1.0,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/DNN_AllFeatures
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",L1GateDNN,9,0.97,9,0.9395973682403564,0.9459518790245056,0.0626832438052364,0.054048127439577695,0.9348628520965576,0.9425827860832214,0.06759645056657783,0.05741722285109363,143,0.967963695526123,0.9706948438078058,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Sweep/n09/L1GateDNN
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",NMI,9,0.97,9,0.6973661780357361,0.7484899759292603,0.307711862933452,0.2515100173027038,0.6904582977294922,0.7482904195785522,0.31473557914279776,0.25170957251158477,148,0.967963695526123,0.7204466254870153,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Budget_97/NMI
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",Pearson,9,0.97,9,0.7630340456962585,0.790989100933075,0.24591287433012435,0.20901089985399565,0.7468534708023071,0.7782653570175171,0.26270434286734556,0.22173465262941597,129,0.967963695526123,0.7882878761083308,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Budget_97/Pearson
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",Spearman,9,0.97,9,0.7941582202911377,0.8364228010177612,0.2136136152904872,0.16357717711443903,0.7788470983505249,0.8240446448326111,0.22950280672066833,0.17595535457176792,145,0.967963695526123,0.8204421549709922,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Budget_97/Spearman
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",Lasso,9,0.97,9,0.924821138381958,0.9378479719161987,0.07801733457602425,0.062152033383232795,0.9228417277336121,0.93545001745224,0.0800714703876372,0.06454996785533207,140,0.967963695526123,0.9554295710225831,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Budget_97/Lasso
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",ElasticNet,9,0.97,9,0.9245570302009583,0.9376864433288574,0.07829139460931792,0.06231353691992464,0.9245570302009583,0.9376822113990784,0.07829139460931792,0.06231777135184371,150,0.967963695526123,0.9551567217595163,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Budget_97/ElasticNet
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",RandomForest,9,0.97,9,0.8705075979232788,0.9106770753860474,0.13438155780201905,0.0893229059762003,0.8678971529006958,0.905177652835846,0.13709059573250681,0.0948223197589403,142,0.967963695526123,0.8993184371962697,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Budget_97/RandomForest
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",XGBoost,9,0.97,9,0.8121622800827026,0.8945082426071167,0.19492980680475225,0.10549176106233413,0.8017412424087524,0.8875395655632019,0.20574427234884946,0.11246043497392061,130,0.967963695526123,0.8390420878763054,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Budget_97/XGBoost
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=8",DNN_AllFeatures,8,0.97,69,0.8499119877815247,0.9752395749092102,0.14651726687145306,0.024760414473641405,0.8485507369041443,0.9752395749092102,0.14784614990533487,0.024760414473641405,136,0.8499119877815247,1.0,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/DNN_AllFeatures
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=8",L1GateDNN,8,0.97,8,0.8364913463592529,0.9093306660652161,0.15961866168214417,0.090669339616491,0.8244093656539917,0.8988223075866699,0.17141317613650023,0.10117770018926975,109,0.8499119877815247,0.9842093750703496,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/Sweep/n08/L1GateDNN
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=8",NMI,8,0.97,8,0.7139093279838562,0.764480471611023,0.3035548610833886,0.23551951748698546,0.7050145268440247,0.7613154053688049,0.31299264404335864,0.23868464942832746,145,0.8499119877815247,0.8399803017808135,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/Budget_97/NMI
