epoch,feature_index,feature,omega_group_l2
0,1,da_as_as_mw_thirty_minutes_reserve,1.4844868
0,2,da_as_total_mw_thirty_minutes_reserve,1.222137
0,3,gross_sched_interchange_mw,1.5022202
0,4,gen_fuel_nuclear_mw,1.366935
0,5,gen_fuel_gas_mw,1.4660164
0,6,da_as_as_req_mw_thirty_minutes_reserve,1.2788405
0,7,da_as_as_req_mw_primary_reserve,1.186083
0,8,da_as_as_req_mw_synchronized_reserve,1.4394861
0,9,total_pjm_assigned_reg,1.5106436
0,10,da_as_as_mw_primary_reserve,1.3606684
0,11,da_as_total_mw_primary_reserve,1.5487841
0,12,da_as_as_mw_synchronized_reserve,1.5205193
0,13,total_pjm_reg_purchases,1.4830908
0,14,gen_fuel_other_renewables_mw,1.5152391
0,15,total_lmp_da,1.3544936
0,16,total_pjm_rmpcp_cr,1.426288
0,17,forecast_load_mw_day_ahead,1.3187459
0,18,total_pjm_rmccp_cr,1.4062178
0,19,gen_fuel_wind_mw,1.5354221
0,20,da_as_total_mw_synchronized_reserve,1.4504061
0,21,system_energy_price_da,1.2992269
0,22,gen_fuel_multiple_fuels_pct,1.336768
0,23,gen_fuel_multiple_fuels_mw,1.2262166
0,24,marginal_loss_price_rt,1.4223105
0,25,gen_fuel_gas_pct,1.4393348
0,26,marginal_loss_price_da,1.2666554
0,27,total_lmp_rt,1.3787212
0,28,rmccp,1.5006586
0,29,system_energy_price_rt,1.4405354
0,30,rmpcp,1.2972068
0,31,gen_fuel_wind_pct,1.4270861
0,32,gen_fuel_coal_mw,1.1809547
0,33,wind_generation_mw,1.3318977
0,34,gross_inadv_interchange_mw,1.5224255
0,35,gen_fuel_oil_mw,1.3977304
0,36,da_as_mcp_primary_reserve,1.2565937
0,37,total_pjm_rt_load_mwh,1.464405
0,38,metered_load_mw,1.3398477
0,39,forecast_load_mw_latest_available,1.353745
0,40,prelim_load_avg_hourly,1.5139
0,41,gross_actual_interchange_mw,1.5339206
0,42,gen_fuel_hydro_mw,1.1512382
0,43,total_pjm_loc_credit,1.60649
0,44,total_losses,1.4645578
0,45,net_inadv_interchange_mw,1.3840947
0,46,da_as_nsr_mw_primary_reserve,1.3453068
0,47,total_pjm_self_sched_reg,1.5494146
0,48,da_as_ss_mw_synchronized_reserve,1.4368634
0,49,da_as_ss_mw_thirty_minutes_reserve,1.3204012
0,50,da_as_ss_mw_primary_reserve,1.4620286
0,51,gen_fuel_solar_mw,1.5954316
0,52,gen_fuel_coal_pct,1.2485417
0,53,congestion_price_rt,1.5227358
0,54,da_as_mcp_synchronized_reserve,1.3337928
0,55,congestion_price_da,1.2427019
1,1,da_as_as_mw_thirty_minutes_reserve,1.2769108
1,2,da_as_total_mw_thirty_minutes_reserve,1.0455414
1,3,gross_sched_interchange_mw,1.5621089
1,4,gen_fuel_nuclear_mw,1.1951323
1,5,gen_fuel_gas_mw,1.3566298
1,6,da_as_as_req_mw_thirty_minutes_reserve,1.1487532
1,7,da_as_as_req_mw_primary_reserve,1.0221015
1,8,da_as_as_req_mw_synchronized_reserve,1.2628105
1,9,total_pjm_assigned_reg,1.3547441
1,10,da_as_as_mw_primary_reserve,1.2029421
1,11,da_as_total_mw_primary_reserve,1.3179404
1,12,da_as_as_mw_synchronized_reserve,1.2342858
1,13,total_pjm_reg_purchases,1.2413266
1,14,gen_fuel_other_renewables_mw,1.257697
1,15,total_lmp_da,1.1299878
1,16,total_pjm_rmpcp_cr,1.1819735
