field,中文名,score
system_energy_price_da,日前能量价格,33.08530139593353
gen_fuel_oil_mw,燃油出力,0.942226041075592
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.5229356599018907
marginal_loss_price_rt,实时边际损耗价,0.40933195576303705
gen_fuel_multiple_fuels_pct,多燃料占比,0.30504950111044954
gross_inadv_interchange_mw,总非计划交换,0.29033177604069976
da_as_mcp_primary_reserve,日前主用备用出清价,0.18398385078469695
gen_fuel_solar_pct,光伏占比,0.17774718336875217
forecast_load_mw_latest_available,最新负荷预测,0.17764784920872095
gen_fuel_hydro_mw,水电出力,0.019520064901969243
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.0012431689239348416
da_as_nsr_mw_primary_reserve,非同步备用,0.0
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.0
total_pjm_rmccp_cr,调频容量信用额,0.0
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.0
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.0
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.0
total_lmp_rt,实时总电价,0.0
system_energy_price_rt,实时能量价格,0.0
total_pjm_assigned_reg,调频分配量,0.0
gen_fuel_coal_mw,燃煤出力,0.0
total_pjm_loc_credit,机会成本信用,0.0
rmccp,调频容量出清价,0.0
prelim_load_avg_hourly,预估小时负荷,0.0
gen_fuel_other_renewables_pct,其他可再生占比,0.0
gen_fuel_oil_pct,燃油占比,0.0
gen_fuel_nuclear_pct,核电占比,0.0
gen_fuel_hydro_pct,水电占比,0.0
gen_fuel_gas_pct,燃气占比,0.0
gen_fuel_coal_pct,燃煤占比,0.0
gen_fuel_storage_mw,储能出力,0.0
gen_fuel_multiple_fuels_mw,多燃料出力,0.0
gen_fuel_gas_mw,燃气出力,0.0
total_pjm_reg_purchases,调频购买量,0.0
total_pjm_rt_load_mwh,实时负荷电量,0.0
