topk,val_mse,val_r2,mse_ratio_to_full,features
1,1.6331465244293213,-0.6030468247740761,2.298700647147942,gen_fuel_other_renewables_mw
2,1.6150894165039062,-0.5853225383605651,2.273284749031711,gen_fuel_other_renewables_mw;congestion_price_da
3,1.4392333030700684,-0.4127075121161041,2.025762217704315,gen_fuel_other_renewables_mw;congestion_price_da;total_losses
4,1.3498767614364624,-0.324997881989848,1.8999903184855065,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da
5,1.2514771223068237,-0.22841170275782652,1.7614899997676476,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw
6,1.2087805271148682,-0.1865020842248888,1.7013933155261294,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt
7,1.0859296321868896,-0.0659153342448684,1.528477151881641,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da
8,1.0900177955627441,-0.06992817744683344,1.5342313592703547,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr
9,0.9900414943695068,0.028205492603428306,1.3935118434065483,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da
10,0.9885596632957458,0.029660031073295512,1.3914261236029264,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit
11,0.9908504486083984,0.02741145316990945,1.3946504697359299,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp
12,0.9649749994277954,0.052809967784522516,1.3582300317121705,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw
13,0.9387525320053101,0.07854913617770565,1.3213211555444635,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg
14,0.896264910697937,0.12025369931481655,1.2615186080485106,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct
15,0.8711535930633545,0.14490219252066305,1.2261737071263334,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg
16,0.8661289811134338,0.14983421211222836,1.2191014214690585,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt
17,0.842431366443634,0.1730950513793248,1.1857463480800579,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve
18,0.8276581764221191,0.18759601788938263,1.1649526587478882,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead
19,0.8182120323181152,0.19686804322272766,1.1516569395701408,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead;da_as_as_mw_thirty_minutes_reserve
20,0.8159215450286865,0.19911633529478412,1.1484330129133862,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead;da_as_as_mw_thirty_minutes_reserve;total_lmp_rt
21,0.8111118078231812,0.2038374113651339,1.1416631696314001,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead;da_as_as_mw_thirty_minutes_reserve;total_lmp_rt;gross_actual_interchange_mw
22,0.7972491383552551,0.21744458330765615,1.1221510641341577,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead;da_as_as_mw_thirty_minutes_reserve;total_lmp_rt;gross_actual_interchange_mw;gen_fuel_multiple_fuels_mw
23,0.799351692199707,0.21538076677569795,1.125110469068503,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead;da_as_as_mw_thirty_minutes_reserve;total_lmp_rt;gross_actual_interchange_mw;gen_fuel_multiple_fuels_mw;system_energy_price_rt
24,0.7960327863693237,0.21863850077123015,1.1204390137728484,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead;da_as_as_mw_thirty_minutes_reserve;total_lmp_rt;gross_actual_interchange_mw;gen_fuel_multiple_fuels_mw;system_energy_price_rt;da_as_mcp_synchronized_reserve
