rank,index,center,related,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score
1,63,congestion_price_rt,marginal_loss_price_rt,0.8292507188103709,0.5529356123629303,0.4925502298262431,0.3809354856552546,0.6180410165057283,0.33128454930187734,1,1,1,1,1,1,6,0.8292507188103709
2,29,congestion_price_rt,rmccp,1.0,0.3803213627687364,0.31117415276304533,0.2476633480441674,0.3858589412250994,0.019499605419815696,1,1,1,1,1,0,5,1.0
3,61,congestion_price_rt,system_energy_price_rt,0.8533165201870843,0.5599051908200245,0.531446009295366,0.4023976560751795,0.6279475853337199,0.03737043072234978,1,1,1,1,1,0,5,0.8533165201870843
4,62,congestion_price_rt,total_lmp_rt,0.5427100353554994,0.5699501494744478,0.5204686560851713,0.3982121641846722,0.6448441905554128,0.03502028219698283,1,1,1,1,1,0,5,0.6448441905554128
5,57,congestion_price_rt,system_energy_price_da,0.10617289562652789,0.4434331072395622,0.4293677025850025,0.32521577269039775,0.46992550437454644,0.026292656863400557,1,1,1,1,1,0,5,0.46992550437454644
6,58,congestion_price_rt,total_lmp_da,0.1280281423260915,0.4377303045900637,0.4270271286952285,0.28826573826683427,0.4413376048518651,0.023703696240082443,1,1,1,1,1,0,5,0.4413376048518651
7,36,congestion_price_rt,total_pjm_rmccp_cr,0.380606086770667,0.409427382510447,0.3687532384553488,0.2590070915151514,0.4141812753194906,0.03276597346426613,1,1,1,1,1,0,5,0.4141812753194906
8,20,congestion_price_rt,gen_fuel_oil_pct,0.06922491760525774,0.295802650709237,0.36934490537071946,0.212294042044895,0.3969216551355826,0.19371570836362934,1,1,1,1,1,0,5,0.3969216551355826
9,28,congestion_price_rt,metered_load_mw,0.07945565972075616,0.3790267647311107,0.33797130383882756,0.2540790918759577,0.3402820306516613,0.03356957904217327,1,1,1,1,1,0,5,0.3790267647311107
10,10,congestion_price_rt,gen_fuel_oil_mw,0.07958879315524924,0.2995900956664994,0.36458264000779,0.20394023133508307,0.36775220595344604,0.02246372762834017,1,1,1,1,1,0,5,0.36775220595344604
11,31,congestion_price_rt,total_pjm_rt_load_mwh,0.08785573353265079,0.34413414989626634,0.32338693297216725,0.19883608485541074,0.25621209930248506,0.03389033356692623,1,1,1,1,1,0,5,0.34413414989626634
12,6,congestion_price_rt,gen_fuel_gas_mw,0.0806591051127392,0.3384713576799169,0.27987015285675687,0.21292772017648154,0.2942192103174185,0.03250151549518589,1,1,1,1,1,0,5,0.3384713576799169
13,8,congestion_price_rt,gen_fuel_multiple_fuels_mw,0.09007044487638342,0.33102374471549645,0.3383462914295438,0.2121856153199257,0.33542491839993455,0.018213492204747883,1,1,1,1,1,0,5,0.3383462914295438
14,19,congestion_price_rt,gen_fuel_nuclear_pct,0.06343658198762282,-0.3363298798596503,-0.3126658479145928,-0.20519135361959323,0.2940775350779194,0.09190531809497482,1,1,1,1,1,0,5,0.3363298798596503
15,25,congestion_price_rt,forecast_load_mw_latest_available,0.07620542424139617,0.31918692203526045,0.2956933181560211,0.21810553418957843,0.2988360026702325,0.0338985933829875,1,1,1,1,1,0,5,0.31918692203526045
16,5,congestion_price_rt,gen_fuel_coal_mw,0.07197539716230948,0.296902598033727,0.23555631686236123,0.1990730675947771,0.23040883009065818,0.03425094252368994,1,1,1,1,1,0,5,0.296902598033727
17,39,congestion_price_rt,da_as_mcp_synchronized_reserve,0.08702802025807624,0.17805232089871884,0.1673779105610231,0.1478536123562356,0.2788689725559569,0.03924313727372901,1,1,1,1,1,0,5,0.2788689725559569
18,60,congestion_price_rt,marginal_loss_price_da,0.05688336275417758,0.21747867936395443,0.36827999593745075,0.16621026409099465,0.35505571036947686,0.10728615198536111,0,1,1,1,1,0,4,0.36827999593745075
19,27,congestion_price_rt,prelim_load_avg_hourly,0.05485979450021182,0.3397662237209781,0.3054132674419229,0.2395747254544147,0.3210504088936898,0.03438023797789975,0,1,1,1,1,0,4,0.3397662237209781
20,26,congestion_price_rt,forecast_load_mw_day_ahead,0.04692914639115697,0.31613954971169034,0.25297975079717194,0.22025747537885232,0.29358968294745624,0.03342539371936721,0,1,1,1,1,0,4,0.31613954971169034
21,1,congestion_price_rt,total_gen,0.059391294378626495,0.3094373415001897,0.26837741078708915,0.22147847546429406,0.29832809052643977,0.03198058726048833,0,1,1,1,1,0,4,0.3094373415001897
22,21,congestion_price_rt,gen_fuel_other_renewables_pct,0.05889146875686134,-0.2925790428272229,-0.24594438392552065,-0.2487415235900854,0.2857664052561394,0.08033660152299062,0,1,1,1,1,0,4,0.2925790428272229
23,49,congestion_price_rt,da_as_as_mw_thirty_minutes_reserve,0.09094859347453525,-0.16342977897708377,-0.2894291493417336,-0.08199039101557438,0.22563686220012402,0.03247333920063631,1,1,1,0,1,0,4,0.2894291493417336
24,18,congestion_price_rt,gen_fuel_multiple_fuels_pct,0.05371973150704521,0.2664634880860587,0.26862144909611124,0.19371786976438815,0.27497977391608663,0.0658506482783241,0,1,1,1,1,0,4,0.27497977391608663
25,46,congestion_price_rt,da_as_total_mw_thirty_minutes_reserve,0.06927857755767194,-0.1570286143830948,-0.27365687270654904,-0.1112541977044359,0.2676502322410371,0.03217357203107353,1,1,1,0,1,0,4,0.27365687270654904
26,2,congestion_price_rt,total_losses,0.056359340906213876,0.2606252687913665,0.21929487506335707,0.15994562980639693,0.23239229207483203,0.01626224491335269,0,1,1,1,1,0,4,0.2606252687913665
27,69,congestion_price_rt,gross_inadv_interchange_mw,0.028789683964337558,0.25799812136792666,0.18887316778254437,0.16199407098000299,0.22315010481879427,0.03088134540269076,0,1,1,1,1,0,4,0.25799812136792666
28,13,congestion_price_rt,gen_fuel_storage_mw,0.02227736025293403,0.2278937677841096,0.23852182353674825,0.16649728009966802,0.23857046974805968,0.06137194770557689,0,1,1,1,1,0,4,0.23857046974805968
29,33,congestion_price_rt,total_pjm_reg_purchases,0.048264541839016656,0.2019152096118903,0.17712519581178177,0.16052367415203989,0.2209327659819975,0.01956901119374402,0,1,1,1,1,0,4,0.2209327659819975
30,59,congestion_price_rt,congestion_price_da,0.10487804120362024,0.03699302803870355,0.1921438754021368,0.013400279876147374,0.2997539437644992,0.06038795913096624,1,0,1,0,1,0,3,0.2997539437644992
31,38,congestion_price_rt,da_as_mcp_primary_reserve,0.028514071914804838,0.16657288188486233,0.2448965926420914,0.11205198781045969,0.24301700687397593,0.021367323053813756,0,1,1,0,1,0,3,0.2448965926420914
32,7,congestion_price_rt,gen_fuel_hydro_mw,0.039450605431938394,0.16223937137837416,0.18731042382704302,0.10737721134121722,0.23531251676307657,0.030241539451080268,0,1,1,0,1,0,3,0.23531251676307657
33,15,congestion_price_rt,gen_fuel_coal_pct,0.03131836981089943,0.21939895421017178,0.14483909451243565,0.13928500291012785,0.18343090594409903,0.021892769843044134,0,1,0,1,0,0,2,0.21939895421017178
